Time,Date,Year,Month,Month_Num,Country,Value ($US)
December 2021,2021-12-01,2021,December,12,Canada,32766954323.0
December 2021,2021-12-01,2021,December,12,Mexico,32986107656.0
2022,2022,2022,Annual,00,Canada,437429118612.0
2022,2022,2022,Annual,00,Mexico,452032214093.0
January 2022,2022-01-01,2022,January,01,Canada,31594641780.0
January 2022,2022-01-01,2022,January,01,Mexico,33155619505.0
February 2022,2022-02-01,2022,February,02,Canada,31010799697.0
February 2022,2022-02-01,2022,February,02,Mexico,32507559725.0
March 2022,2022-03-01,2022,March,03,Canada,40049085962.0
March 2022,2022-03-01,2022,March,03,Mexico,40013719324.0
April 2022,2022-04-01,2022,April,04,Canada,38073738057.0
April 2022,2022-04-01,2022,April,04,Mexico,38517005188.0
May 2022,2022-05-01,2022,May,05,Canada,40460747326.0
May 2022,2022-05-01,2022,May,05,Mexico,39445510893.0
June 2022,2022-06-01,2022,June,06,Canada,41005037615.0
June 2022,2022-06-01,2022,June,06,Mexico,39122762916.0
July 2022,2022-07-01,2022,July,07,Canada,37901809996.0
July 2022,2022-07-01,2022,July,07,Mexico,37687531146.0
August 2022,2022-08-01,2022,August,08,Canada,38932124954.0
August 2022,2022-08-01,2022,August,08,Mexico,39780910597.0
September 2022,2022-09-01,2022,September,09,Canada,35916131734.0
September 2022,2022-09-01,2022,September,09,Mexico,39197973411.0
October 2022,2022-10-01,2022,October,10,Canada,34670422121.0
October 2022,2022-10-01,2022,October,10,Mexico,40144372069.0
November 2022,2022-11-01,2022,November,11,Canada,33777685638.0
November 2022,2022-11-01,2022,November,11,Mexico,36643679848.0
December 2022,2022-12-01,2022,December,12,Canada,34036893732.0
December 2022,2022-12-01,2022,December,12,Mexico,35815569471.0
2023,2023,2023,Annual,00,Canada,418618659183.0
2023,2023,2023,Annual,00,Mexico,475215965697.0
January 2023,2023-01-01,2023,January,01,Canada,34911122155.0
January 2023,2023-01-01,2023,January,01,Mexico,36895405811.0
February 2023,2023-02-01,2023,February,02,Canada,31611384436.0
February 2023,2023-02-01,2023,February,02,Mexico,35678640092.0
March 2023,2023-03-01,2023,March,03,Canada,36473235088.0
March 2023,2023-03-01,2023,March,03,Mexico,42793405279.0
April 2023,2023-04-01,2023,April,04,Canada,33951379531.0
April 2023,2023-04-01,2023,April,04,Mexico,38054994275.0
May 2023,2023-05-01,2023,May,05,Canada,36573212467.0
May 2023,2023-05-01,2023,May,05,Mexico,41339552129.0
June 2023,2023-06-01,2023,June,06,Canada,34914005638.0
June 2023,2023-06-01,2023,June,06,Mexico,40988584861.0
July 2023,2023-07-01,2023,July,07,Canada,33069511867.0
July 2023,2023-07-01,2023,July,07,Mexico,38900908583.0
August 2023,2023-08-01,2023,August,08,Canada,36295468428.0
August 2023,2023-08-01,2023,August,08,Mexico,41698966182.0
September 2023,2023-09-01,2023,September,09,Canada,34904993141.0
September 2023,2023-09-01,2023,September,09,Mexico,39509220025.0
October 2023,2023-10-01,2023,October,10,Canada,36403160145.0
October 2023,2023-10-01,2023,October,10,Mexico,42897395950.0
November 2023,2023-11-01,2023,November,11,Canada,36236790358.0
November 2023,2023-11-01,2023,November,11,Mexico,39844044126.0
December 2023,2023-12-01,2023,December,12,Canada,33274395929.0
December 2023,2023-12-01,2023,December,12,Mexico,36614848384.0
2024,2024,2024,Annual,00,Canada,412695719877.0
2024,2024,2024,Annual,00,Mexico,505850598583.0
January 2024,2024-01-01,2024,January,01,Canada,33309127319.0
January 2024,2024-01-01,2024,January,01,Mexico,38042320835.0
February 2024,2024-02-01,2024,February,02,Canada,33395174825.0
February 2024,2024-02-01,2024,February,02,Mexico,40244578331.0
March 2024,2024-03-01,2024,March,03,Canada,34218094789.0
March 2024,2024-03-01,2024,March,03,Mexico,41562915485.0
April 2024,2024-04-01,2024,April,04,Canada,34883560333.0
April 2024,2024-04-01,2024,April,04,Mexico,43065613597.0
May 2024,2024-05-01,2024,May,05,Canada,35669381089.0
May 2024,2024-05-01,2024,May,05,Mexico,43880787079.0
June 2024,2024-06-01,2024,June,06,Canada,34393224478.0
June 2024,2024-06-01,2024,June,06,Mexico,42244593026.0
July 2024,2024-07-01,2024,July,07,Canada,35798948016.0
July 2024,2024-07-01,2024,July,07,Mexico,41940483227.0
August 2024,2024-08-01,2024,August,08,Canada,33036375028.0
